ward,year,item,category,location,cost
3,2012,Sidewalk Menu,Sidewalk Repair,ON DR MARTIN LUTHER KING JR DR FROM E 44 ST (4400 S) TO E 45 ST (4500 S),8979
3,2012,Sidewalk Menu,Sidewalk Repair,ON E 50TH PL FROM S WASHINGTON PK (432 E) TO S VINCENNES AV (480 E),30507
3,2012,Sidewalk Menu,Sidewalk Repair,ON S SHIELDS AVE FROM W SWANN ST (4642 S) TO W 47 ST (4700 S),22651
3,2012,Street Resurfacing Menu,Street Resurfacing,ON E 42ND ST FROM S STATE ST (0 E) TO S MICHIGAN AV (120 E),94958
3,2012,Street Resurfacing Menu,Street Resurfacing,ON FORRESTVILLE FROM E 48 ST (4800 S) TO E 49 ST (4900 S),6790
3,2012,Street Resurfacing Menu,Street Resurfacing,ON S CALUMET AVE FROM E PERSHING RD (3900 S) TO E 41 ST (4100 S),135801
3,2012,Street Resurfacing Menu,Street Resurfacing,ON S PRINCETON AVE FROM W ROOT ST (4134 S) TO W 43 ST (4300 S),176667
3,2012,Street Resurfacing Menu,Street Resurfacing,ON S PRAIRIE AVE FROM E 33 BV (3300 S) TO E 35 ST (3500 S),106066
3,2012,Street Resurfacing Menu,Street Resurfacing,ON S PRAIRIE AVE FROM E 48 ST (4800 S) TO E 51 ST (5100 S),188861
3,2012,Street Speed Hump Menu,Street Redesign,ON S CALUMET AVE FROM E 43 ST (4300 S) TO E 44 ST (4400 S),3700
3,2012,Street Speed Hump Menu,Street Redesign,ON S FEDERAL ST FROM W 13 ST (1299 S) TO W 14 ST (1400 S),5550
3,2012,Street Speed Hump Menu,Street Redesign,ON S LAFLIN ST FROM W 46 ST (4600 S) TO W 47 ST (4700 S),3700
3,2012,Floodlight Menu,Lighting,ON CULLERTON FROM S STATE ST (0 E) TO S WABASH AV Adding Floodlight with Mast Arm (44 E),1200
3,2012,Floodlight Menu,Lighting,ON 43 FROM S CALUMET AV (320 E) TO S PRAIRIE AV (236 E) Install floodlights on El tracks & New Controller,10000
